Q-2,Q-1,Q,Q+1,Q+2
0.414285714,0.527214286,0.575642857,0.665785714,7.918928571
0.527214286,0.575642857,0.665785714,7.918928571,9.548571429
0.575642857,0.665785714,7.918928571,9.548571429,4.303285714
0.665785714,7.918928571,9.548571429,4.303285714,5.088285714
7.918928571,9.548571429,4.303285714,5.088285714,7.330071429
9.548571429,4.303285714,5.088285714,7.330071429,3.408142857
4.303285714,5.088285714,7.330071429,3.408142857,1.531785714
5.088285714,7.330071429,3.408142857,1.531785714,1.186714286
7.330071429,3.408142857,1.531785714,1.186714286,0.929571429
3.408142857,1.531785714,1.186714286,0.929571429,0.751214286
1.531785714,1.186714286,0.929571429,0.751214286,0.452642857
1.186714286,0.929571429,0.751214286,0.452642857,0.357428571
0.929571429,0.751214286,0.452642857,0.357428571,0.319571429
0.751214286,0.452642857,0.357428571,0.319571429,0.355428571
0.452642857,0.357428571,0.319571429,0.355428571,0.392714286
0.357428571,0.319571429,0.355428571,0.392714286,0.3625
0.319571429,0.355428571,0.392714286,0.3625,1.635428571
0.355428571,0.392714286,0.3625,1.635428571,0.848285714
0.392714286,0.3625,1.635428571,0.848285714,0.660571429
0.3625,1.635428571,0.848285714,0.660571429,0.554785714
1.635428571,0.848285714,0.660571429,0.554785714,0.491428571
0.848285714,0.660571429,0.554785714,0.491428571,0.494714286
0.660571429,0.554785714,0.491428571,0.494714286,0.496928571
0.554785714,0.491428571,0.494714286,0.496928571,0.506214286
0.491428571,0.494714286,0.496928571,0.506214286,0.483285714
0.494714286,0.496928571,0.506214286,0.483285714,0.508142857
0.496928571,0.506214286,0.483285714,0.508142857,0.48
0.506214286,0.483285714,0.508142857,0.48,0.881357143
0.483285714,0.508142857,0.48,0.881357143,0.756928571
0.508142857,0.48,0.881357143,0.756928571,0.599857143
0.48,0.881357143,0.756928571,0.599857143,1.805357143
0.881357143,0.756928571,0.599857143,1.805357143,1.462714286
0.756928571,0.599857143,1.805357143,1.462714286,0.134071429
0.599857143,1.805357143,1.462714286,0.134071429,0.106071429
1.805357143,1.462714286,0.134071429,0.106071429,0.111785714
1.462714286,0.134071429,0.106071429,0.111785714,0.105214286
0.134071429,0.106071429,0.111785714,0.105214286,0.175428571
0.106071429,0.111785714,0.105214286,0.175428571,0.080928571
0.111785714,0.105214286,0.175428571,0.080928571,0.085928571
0.105214286,0.175428571,0.080928571,0.085928571,0.096714286
0.175428571,0.080928571,0.085928571,0.096714286,0.133785714
0.080928571,0.085928571,0.096714286,0.133785714,0.100428571
0.085928571,0.096714286,0.133785714,0.100428571,0.0895
0.096714286,0.133785714,0.100428571,0.0895,0.076785714
0.133785714,0.100428571,0.0895,0.076785714,0.077214286
0.100428571,0.0895,0.076785714,0.077214286,0.094428571
0.0895,0.076785714,0.077214286,0.094428571,0.241428571
0.076785714,0.077214286,0.094428571,0.241428571,0.309428571
0.077214286,0.094428571,0.241428571,0.309428571,0.362928571
0.094428571,0.241428571,0.309428571,0.362928571,0.284071429
0.241428571,0.309428571,0.362928571,0.284071429,0.353785714
0.309428571,0.362928571,0.284071429,0.353785714,0.389785714
0.362928571,0.284071429,0.353785714,0.389785714,0.537642857
0.284071429,0.353785714,0.389785714,0.537642857,1.262928571
0.353785714,0.389785714,0.537642857,1.262928571,1.389714286
0.389785714,0.537642857,1.262928571,1.389714286,2.3915
