Q-1,Q,Q+1,Q+2,Q+3,Q+4
0.43,0.509714286,0.544714286,0.562571429,0.588714286,0.545857143
0.509714286,0.544714286,0.562571429,0.588714286,0.545857143,0.785714286
0.544714286,0.562571429,0.588714286,0.545857143,0.785714286,4.141142857
0.562571429,0.588714286,0.545857143,0.785714286,4.141142857,11.69671429
0.588714286,0.545857143,0.785714286,4.141142857,11.69671429,10.764
0.545857143,0.785714286,4.141142857,11.69671429,10.764,8.333142857
0.785714286,4.141142857,11.69671429,10.764,8.333142857,1.734857143
4.141142857,11.69671429,10.764,8.333142857,1.734857143,6.871714286
11.69671429,10.764,8.333142857,1.734857143,6.871714286,3.743142857
10.764,8.333142857,1.734857143,6.871714286,3.743142857,6.433428571
8.333142857,1.734857143,6.871714286,3.743142857,6.433428571,8.077285714
1.734857143,6.871714286,3.743142857,6.433428571,8.077285714,6.582857143
6.871714286,3.743142857,6.433428571,8.077285714,6.582857143,4.197714286
3.743142857,6.433428571,8.077285714,6.582857143,4.197714286,2.618571429
6.433428571,8.077285714,6.582857143,4.197714286,2.618571429,1.689714286
8.077285714,6.582857143,4.197714286,2.618571429,1.689714286,1.373857143
6.582857143,4.197714286,2.618571429,1.689714286,1.373857143,1.251285714
4.197714286,2.618571429,1.689714286,1.373857143,1.251285714,1.122142857
2.618571429,1.689714286,1.373857143,1.251285714,1.122142857,1.047857143
1.689714286,1.373857143,1.251285714,1.122142857,1.047857143,0.811285714
1.373857143,1.251285714,1.122142857,1.047857143,0.811285714,0.713428571
1.251285714,1.122142857,1.047857143,0.811285714,0.713428571,0.789
1.122142857,1.047857143,0.811285714,0.713428571,0.789,0.453714286
1.047857143,0.811285714,0.713428571,0.789,0.453714286,0.451571429
0.811285714,0.713428571,0.789,0.453714286,0.451571429,0.369142857
0.713428571,0.789,0.453714286,0.451571429,0.369142857,0.345714286
0.789,0.453714286,0.451571429,0.369142857,0.345714286,0.32
0.453714286,0.451571429,0.369142857,0.345714286,0.32,0.319142857
0.451571429,0.369142857,0.345714286,0.32,0.319142857,0.359
0.369142857,0.345714286,0.32,0.319142857,0.359,0.351857143
0.345714286,0.32,0.319142857,0.359,0.351857143,0.368571429
0.32,0.319142857,0.359,0.351857143,0.368571429,0.416857143
0.319142857,0.359,0.351857143,0.368571429,0.416857143,0.363714286
0.359,0.351857143,0.368571429,0.416857143,0.363714286,0.361285714
0.351857143,0.368571429,0.416857143,0.363714286,0.361285714,0.387142857
0.368571429,0.416857143,0.363714286,0.361285714,0.387142857,2.883714286
0.416857143,0.363714286,0.361285714,0.387142857,2.883714286,0.821571429
0.363714286,0.361285714,0.387142857,2.883714286,0.821571429,0.875
0.361285714,0.387142857,2.883714286,0.821571429,0.875,0.681285714
0.387142857,2.883714286,0.821571429,0.875,0.681285714,0.639857143
2.883714286,0.821571429,0.875,0.681285714,0.639857143,0.581
0.821571429,0.875,0.681285714,0.639857143,0.581,0.528571429
0.875,0.681285714,0.639857143,0.581,0.528571429,0.457142857
0.681285714,0.639857143,0.581,0.528571429,0.457142857,0.525714286
0.639857143,0.581,0.528571429,0.457142857,0.525714286,0.537142857
0.581,0.528571429,0.457142857,0.525714286,0.537142857,0.452285714
0.528571429,0.457142857,0.525714286,0.537142857,0.452285714,0.454285714
0.457142857,0.525714286,0.537142857,0.452285714,0.454285714,0.539571429
0.525714286,0.537142857,0.452285714,0.454285714,0.539571429,0.529571429
0.537142857,0.452285714,0.454285714,0.539571429,0.529571429,0.482857143
0.452285714,0.454285714,0.539571429,0.529571429,0.482857143,0.440857143
0.454285714,0.539571429,0.529571429,0.482857143,0.440857143,0.525714286
0.539571429,0.529571429,0.482857143,0.440857143,0.525714286,0.540571429
0.529571429,0.482857143,0.440857143,0.525714286,0.540571429,0.475714286
0.482857143,0.440857143,0.525714286,0.540571429,0.475714286,0.528571429
0.440857143,0.525714286,0.540571429,0.475714286,0.528571429,0.431428571
0.525714286,0.540571429,0.475714286,0.528571429,0.431428571,0.787285714
0.540571429,0.475714286,0.528571429,0.431428571,0.787285714,0.975428571
0.475714286,0.528571429,0.431428571,0.787285714,0.975428571,0.768428571
0.528571429,0.431428571,0.787285714,0.975428571,0.768428571,0.745428571
0.431428571,0.787285714,0.975428571,0.768428571,0.745428571,0.586
0.787285714,0.975428571,0.768428571,0.745428571,0.586,0.613714286
0.975428571,0.768428571,0.745428571,0.586,0.613714286,1.175571429
0.768428571,0.745428571,0.586,0.613714286,1.175571429,2.435142857
0.745428571,0.586,0.613714286,1.175571429,2.435142857,2.612571429
0.586,0.613714286,1.175571429,2.435142857,2.612571429,0.312857143
0.613714286,1.175571429,2.435142857,2.612571429,0.312857143,0.152714286
1.175571429,2.435142857,2.612571429,0.312857143,0.152714286,0.115428571
2.435142857,2.612571429,0.312857143,0.152714286,0.115428571,0.097142857
2.612571429,0.312857143,0.152714286,0.115428571,0.097142857,0.115
0.312857143,0.152714286,0.115428571,0.097142857,0.115,0.115571429
0.152714286,0.115428571,0.097142857,0.115,0.115571429,0.108
0.115428571,0.097142857,0.115,0.115571429,0.108,0.101571429
0.097142857,0.115,0.115571429,0.108,0.101571429,0.108857143
0.115,0.115571429,0.108,0.101571429,0.108857143,0.078428571
0.115571429,0.108,0.101571429,0.108857143,0.078428571,0.272428571
0.108,0.101571429,0.108857143,0.078428571,0.272428571,0.078428571
0.101571429,0.108857143,0.078428571,0.272428571,0.078428571,0.083428571
0.108857143,0.078428571,0.272428571,0.078428571,0.083428571,0.077
0.078428571,0.272428571,0.078428571,0.083428571,0.077,0.094857143
0.272428571,0.078428571,0.083428571,0.077,0.094857143,0.098428571
0.078428571,0.083428571,0.077,0.094857143,0.098428571,0.095
0.083428571,0.077,0.094857143,0.098428571,0.095,0.105428571
0.077,0.094857143,0.098428571,0.095,0.105428571,0.162142857
0.094857143,0.098428571,0.095,0.105428571,0.162142857,0.103714286
0.098428571,0.095,0.105428571,0.162142857,0.103714286,0.097142857
0.095,0.105428571,0.162142857,0.103714286,0.097142857,0.090857143
0.105428571,0.162142857,0.103714286,0.097142857,0.090857143,0.088142857
0.162142857,0.103714286,0.097142857,0.090857143,0.088142857,0.08
0.103714286,0.097142857,0.090857143,0.088142857,0.08,0.073571429
0.097142857,0.090857143,0.088142857,0.08,0.073571429,0.075142857
0.090857143,0.088142857,0.08,0.073571429,0.075142857,0.079285714
0.088142857,0.08,0.073571429,0.075142857,0.079285714,0.080571429
0.08,0.073571429,0.075142857,0.079285714,0.080571429,0.108285714
0.073571429,0.075142857,0.079285714,0.080571429,0.108285714,0.137
0.075142857,0.079285714,0.080571429,0.108285714,0.137,0.345857143
0.079285714,0.080571429,0.108285714,0.137,0.345857143,0.307142857
0.080571429,0.108285714,0.137,0.345857143,0.307142857,0.311714286
0.108285714,0.137,0.345857143,0.307142857,0.311714286,0.378142857
0.137,0.345857143,0.307142857,0.311714286,0.378142857,0.347714286
0.345857143,0.307142857,0.311714286,0.378142857,0.347714286,0.285
0.307142857,0.311714286,0.378142857,0.347714286,0.285,0.283142857
0.311714286,0.378142857,0.347714286,0.285,0.283142857,0.354714286
0.378142857,0.347714286,0.285,0.283142857,0.354714286,0.352857143
0.347714286,0.285,0.283142857,0.354714286,0.352857143,0.361857143
0.285,0.283142857,0.354714286,0.352857143,0.361857143,0.417714286
0.283142857,0.354714286,0.352857143,0.361857143,0.417714286,0.375571429
0.354714286,0.352857143,0.361857143,0.417714286,0.375571429,0.699714286
0.352857143,0.361857143,0.417714286,0.375571429,0.699714286,1.185428571
0.361857143,0.417714286,0.375571429,0.699714286,1.185428571,1.340428571
0.417714286,0.375571429,0.699714286,1.185428571,1.340428571,1.170714286
0.375571429,0.699714286,1.185428571,1.340428571,1.170714286,1.608714286
0.699714286,1.185428571,1.340428571,1.170714286,1.608714286,2.562285714
1.185428571,1.340428571,1.170714286,1.608714286,2.562285714,2.220714286
1.340428571,1.170714286,1.608714286,2.562285714,2.220714286,6.066285714
1.170714286,1.608714286,2.562285714,2.220714286,6.066285714,3.395
1.608714286,2.562285714,2.220714286,6.066285714,3.395,2.518714286
2.562285714,2.220714286,6.066285714,3.395,2.518714286,0.953571429
2.220714286,6.066285714,3.395,2.518714286,0.953571429,0.706285714
6.066285714,3.395,2.518714286,0.953571429,0.706285714,2.032857143
3.395,2.518714286,0.953571429,0.706285714,2.032857143,0.259428571
2.518714286,0.953571429,0.706285714,2.032857143,0.259428571,0.207428571
0.953571429,0.706285714,2.032857143,0.259428571,0.207428571,0.177714286
0.706285714,2.032857143,0.259428571,0.207428571,0.177714286,0.143428571
2.032857143,0.259428571,0.207428571,0.177714286,0.143428571,0.152428571
0.259428571,0.207428571,0.177714286,0.143428571,0.152428571,0.156
0.207428571,0.177714286,0.143428571,0.152428571,0.156,0.121
0.177714286,0.143428571,0.152428571,0.156,0.121,0.109
0.143428571,0.152428571,0.156,0.121,0.109,0.187
0.152428571,0.156,0.121,0.109,0.187,0.092714286
0.156,0.121,0.109,0.187,0.092714286,0.075
0.121,0.109,0.187,0.092714286,0.075,0.083571429
0.109,0.187,0.092714286,0.075,0.083571429,0.090142857
0.187,0.092714286,0.075,0.083571429,0.090142857,0.077285714
0.092714286,0.075,0.083571429,0.090142857,0.077285714,0.085857143
0.075,0.083571429,0.090142857,0.077285714,0.085857143,0.091285714
0.083571429,0.090142857,0.077285714,0.085857143,0.091285714,0.097714286
0.090142857,0.077285714,0.085857143,0.091285714,0.097714286,0.090857143
0.077285714,0.085857143,0.091285714,0.097714286,0.090857143,0.090428571
0.085857143,0.091285714,0.097714286,0.090857143,0.090428571,0.087714286
0.091285714,0.097714286,0.090857143,0.090428571,0.087714286,0.092428571
0.097714286,0.090857143,0.090428571,0.087714286,0.092428571,0.120285714
0.090857143,0.090428571,0.087714286,0.092428571,0.120285714,0.158
0.090428571,0.087714286,0.092428571,0.120285714,0.158,0.351857143
0.087714286,0.092428571,0.120285714,0.158,0.351857143,0.691428571
0.092428571,0.120285714,0.158,0.351857143,0.691428571,0.488142857
0.120285714,0.158,0.351857143,0.691428571,0.488142857,0.476857143
0.158,0.351857143,0.691428571,0.488142857,0.476857143,0.504
0.351857143,0.691428571,0.488142857,0.476857143,0.504,0.400571429
0.691428571,0.488142857,0.476857143,0.504,0.400571429,0.450571429
0.488142857,0.476857143,0.504,0.400571429,0.450571429,0.381857143
0.476857143,0.504,0.400571429,0.450571429,0.381857143,0.440285714
0.504,0.400571429,0.450571429,0.381857143,0.440285714,0.488428571
0.400571429,0.450571429,0.381857143,0.440285714,0.488428571,0.479714286
0.450571429,0.381857143,0.440285714,0.488428571,0.479714286,0.579285714
0.381857143,0.440285714,0.488428571,0.479714286,0.579285714,0.582142857
0.440285714,0.488428571,0.479714286,0.579285714,0.582142857,0.548285714
0.488428571,0.479714286,0.579285714,0.582142857,0.548285714,0.573571429
0.479714286,0.579285714,0.582142857,0.548285714,0.573571429,0.565428571
0.579285714,0.582142857,0.548285714,0.573571429,0.565428571,1.359857143
0.582142857,0.548285714,0.573571429,0.565428571,1.359857143,1.470571429
0.548285714,0.573571429,0.565428571,1.359857143,1.470571429,1.876428571
0.573571429,0.565428571,1.359857143,1.470571429,1.876428571,4
0.565428571,1.359857143,1.470571429,1.876428571,4,5.649857143
1.359857143,1.470571429,1.876428571,4,5.649857143,6.446714286
1.470571429,1.876428571,4,5.649857143,6.446714286,10.997
1.876428571,4,5.649857143,6.446714286,10.997,9.412857143
4,5.649857143,6.446714286,10.997,9.412857143,5.172428571
5.649857143,6.446714286,10.997,9.412857143,5.172428571,4.440714286
6.446714286,10.997,9.412857143,5.172428571,4.440714286,4.711
10.997,9.412857143,5.172428571,4.440714286,4.711,4.717857143
9.412857143,5.172428571,4.440714286,4.711,4.717857143,4.276857143
5.172428571,4.440714286,4.711,4.717857143,4.276857143,2.262714286
4.440714286,4.711,4.717857143,4.276857143,2.262714286,1.581428571
4.711,4.717857143,4.276857143,2.262714286,1.581428571,1.443142857
4.717857143,4.276857143,2.262714286,1.581428571,1.443142857,0.692714286
4.276857143,2.262714286,1.581428571,1.443142857,0.692714286,0.663857143
2.262714286,1.581428571,1.443142857,0.692714286,0.663857143,0.595571429
1.581428571,1.443142857,0.692714286,0.663857143,0.595571429,0.470285714
1.443142857,0.692714286,0.663857143,0.595571429,0.470285714,0.415428571
0.692714286,0.663857143,0.595571429,0.470285714,0.415428571,0.417428571
0.663857143,0.595571429,0.470285714,0.415428571,0.417428571,1.295285714
0.595571429,0.470285714,0.415428571,0.417428571,1.295285714,0.273285714
0.470285714,0.415428571,0.417428571,1.295285714,0.273285714,0.363428571
0.415428571,0.417428571,1.295285714,0.273285714,0.363428571,0.391714286
0.417428571,1.295285714,0.273285714,0.363428571,0.391714286,0.297714286
1.295285714,0.273285714,0.363428571,0.391714286,0.297714286,0.308857143
0.273285714,0.363428571,0.391714286,0.297714286,0.308857143,0.32
0.363428571,0.391714286,0.297714286,0.308857143,0.32,0.334428571
0.391714286,0.297714286,0.308857143,0.32,0.334428571,0.381857143
0.297714286,0.308857143,0.32,0.334428571,0.381857143,0.820714286
0.308857143,0.32,0.334428571,0.381857143,0.820714286,0.611
0.32,0.334428571,0.381857143,0.820714286,0.611,0.531428571
0.334428571,0.381857143,0.820714286,0.611,0.531428571,0.505428571
0.381857143,0.820714286,0.611,0.531428571,0.505428571,2.295428571
0.820714286,0.611,0.531428571,0.505428571,2.295428571,0.67
0.611,0.531428571,0.505428571,2.295428571,0.67,0.627285714
0.531428571,0.505428571,2.295428571,0.67,0.627285714,0.610857143
0.505428571,2.295428571,0.67,0.627285714,0.610857143,0.882
2.295428571,0.67,0.627285714,0.610857143,0.882,0.744857143
0.67,0.627285714,0.610857143,0.882,0.744857143,0.8
0.627285714,0.610857143,0.882,0.744857143,0.8,0.629714286
0.610857143,0.882,0.744857143,0.8,0.629714286,0.698571429
0.882,0.744857143,0.8,0.629714286,0.698571429,1.134142857
0.744857143,0.8,0.629714286,0.698571429,1.134142857,0.911142857
0.8,0.629714286,0.698571429,1.134142857,0.911142857,0.799285714
0.629714286,0.698571429,1.134142857,0.911142857,0.799285714,0.951285714
0.698571429,1.134142857,0.911142857,0.799285714,0.951285714,0.833142857
1.134142857,0.911142857,0.799285714,0.951285714,0.833142857,0.911857143
0.911142857,0.799285714,0.951285714,0.833142857,0.911857143,1.948571429
0.799285714,0.951285714,0.833142857,0.911857143,1.948571429,2.688428571
0.951285714,0.833142857,0.911857143,1.948571429,2.688428571,4.178428571
0.833142857,0.911857143,1.948571429,2.688428571,4.178428571,3.676714286
0.911857143,1.948571429,2.688428571,4.178428571,3.676714286,3.703428571
1.948571429,2.688428571,4.178428571,3.676714286,3.703428571,4.234428571
2.688428571,4.178428571,3.676714286,3.703428571,4.234428571,3.139428571
4.178428571,3.676714286,3.703428571,4.234428571,3.139428571,2.633571429
3.676714286,3.703428571,4.234428571,3.139428571,2.633571429,1.613142857
3.703428571,4.234428571,3.139428571,2.633571429,1.613142857,3.659285714
4.234428571,3.139428571,2.633571429,1.613142857,3.659285714,3.483714286
3.139428571,2.633571429,1.613142857,3.659285714,3.483714286,2.813714286
2.633571429,1.613142857,3.659285714,3.483714286,2.813714286,2.138857143
1.613142857,3.659285714,3.483714286,2.813714286,2.138857143,1.056857143
3.659285714,3.483714286,2.813714286,2.138857143,1.056857143,0.552
3.483714286,2.813714286,2.138857143,1.056857143,0.552,0.408428571
2.813714286,2.138857143,1.056857143,0.552,0.408428571,0.430142857
2.138857143,1.056857143,0.552,0.408428571,0.430142857,0.355714286
1.056857143,0.552,0.408428571,0.430142857,0.355714286,0.300571429
0.552,0.408428571,0.430142857,0.355714286,0.300571429,0.221
0.408428571,0.430142857,0.355714286,0.300571429,0.221,0.185428571
